# Rule	Path	Symbol	AllowedCount
ngui-symbol	ModAPI/Core/IPlugin.cs	UIRoot	1
ngui-symbol	ModAPI/Examples/SpineHarmonyShowcase.cs	UILabel	1
ngui-symbol	ModAPI/Hooks/UIHooks.cs	NGUI	1
ngui-symbol	ModAPI/Spine/Internal/SpineActionWidgetBuilder.cs	NGUIText	1
ngui-symbol	ModAPI/Spine/Internal/SpineActionWidgetBuilder.cs	NGUITools	4
ngui-symbol	ModAPI/Spine/Internal/SpineActionWidgetBuilder.cs	UILabel	1
ngui-symbol	ModAPI/Spine/Internal/SpineActionWidgetBuilder.cs	UIWidget	2
ngui-symbol	ModAPI/Spine/Internal/SpineScalarWidgetBuilder.cs	NGUIText	3
ngui-symbol	ModAPI/Spine/Internal/SpineScalarWidgetBuilder.cs	NGUITools	11
ngui-symbol	ModAPI/Spine/Internal/SpineScalarWidgetBuilder.cs	UICamera	10
ngui-symbol	ModAPI/Spine/Internal/SpineScalarWidgetBuilder.cs	UIEventListener	2
ngui-symbol	ModAPI/Spine/Internal/SpineScalarWidgetBuilder.cs	UIInput	5
ngui-symbol	ModAPI/Spine/Internal/SpineScalarWidgetBuilder.cs	UILabel	3
ngui-symbol	ModAPI/Spine/Internal/SpineScalarWidgetBuilder.cs	UISlider	2
ngui-symbol	ModAPI/Spine/Internal/SpineScalarWidgetBuilder.cs	UISprite	2
ngui-symbol	ModAPI/Spine/Internal/SpineScalarWidgetBuilder.cs	UIWidget	5
ngui-symbol	ModAPI/Spine/Internal/SpineSelectionWidgetBuilder.cs	NGUIText	3
ngui-symbol	ModAPI/Spine/Internal/SpineSelectionWidgetBuilder.cs	NGUITools	6
ngui-symbol	ModAPI/Spine/Internal/SpineSelectionWidgetBuilder.cs	UIWidget	3
ngui-symbol	ModAPI/Spine/Internal/SpineWidgetRuntime.cs	NGUITools	3
ngui-symbol	ModAPI/Spine/Internal/SpineWidgetRuntime.cs	UILabel	1
ngui-symbol	ModAPI/Spine/Internal/SpineWidgetRuntime.cs	UIPanel	1
ngui-symbol	ModAPI/Spine/Internal/SpineWidgetRuntime.cs	UIRoot	1
ngui-symbol	ModAPI/Spine/Internal/SpineWidgetRuntime.cs	UIWidget	1
ngui-symbol	ModAPI/Spine/ModSettingAttribute.cs	NGUI	1
ngui-symbol	ModAPI/Spine/UI/KeybindCaptureListener.cs	UILabel	1
ngui-symbol	ModAPI/UI/ContextUIExtensions.cs	UIPanel	1
ngui-symbol	ModAPI/UI/ModColorPickerPanel.cs	NGUIText	3
ngui-symbol	ModAPI/UI/ModColorPickerPanel.cs	UIButton	1
ngui-symbol	ModAPI/UI/ModColorPickerPanel.cs	UICamera	3
ngui-symbol	ModAPI/UI/ModColorPickerPanel.cs	UIEventListener	6
ngui-symbol	ModAPI/UI/ModColorPickerPanel.cs	UIInput	6
ngui-symbol	ModAPI/UI/ModColorPickerPanel.cs	UILabel	1
ngui-symbol	ModAPI/UI/ModColorPickerPanel.cs	UITexture	13
ngui-symbol	ModAPI/UI/ModColorPickerPanel.cs	UIWidget	2
ngui-symbol	ModAPI/UI/ModManager/ModManagerDescriptionScroller.cs	UILabel	2
ngui-symbol	ModAPI/UI/ModManager/ModManagerPanelScaffolding.cs	UIButton	7
ngui-symbol	ModAPI/UI/ModManager/ModManagerPanelScaffolding.cs	UIEventListener	1
ngui-symbol	ModAPI/UI/ModManager/ModManagerPanelScaffolding.cs	UILabel	2
ngui-symbol	ModAPI/UI/ModManager/ModManagerPanelScaffolding.cs	UIPanel	1
ngui-symbol	ModAPI/UI/ModManager/ModManagerPanelScaffolding.cs	UISprite	2
ngui-symbol	ModAPI/UI/ModManager/ModManagerPanelScaffolding.cs	UIWidget	3
ngui-symbol	ModAPI/UI/ModManagerPanel.cs	NGUI	3
ngui-symbol	ModAPI/UI/ModManagerPanel.cs	NGUIScrollHelper	2
ngui-symbol	ModAPI/UI/ModManagerPanel.cs	NGUIText	12
ngui-symbol	ModAPI/UI/ModManagerPanel.cs	UIButton	12
ngui-symbol	ModAPI/UI/ModManagerPanel.cs	UIDrawCall	1
ngui-symbol	ModAPI/UI/ModManagerPanel.cs	UIEventListener	3
ngui-symbol	ModAPI/UI/ModManagerPanel.cs	UILabel	16
ngui-symbol	ModAPI/UI/ModManagerPanel.cs	UIPanel	5
ngui-symbol	ModAPI/UI/ModManagerPanel.cs	UIRoot	1
